,timestamp,currentLocation,participantId,currentMode,hungerStatus,sleepStatus,apartmentId,availableBalance,jobId,financialStatus,dailyFoodBudget,weeklyExtraBudget
1164686,2022-03-05T00:00:00Z,POINT (952.8260455703379 3979.8040583185016),14,AtRecreation,BecameFull,Awake,66.0,2714.1157892401284,139,Stable,20,1837.6531192071127
1164693,2022-03-05T00:00:00Z,POINT (1813.125404421128 4343.019036600784),21,AtRecreation,JustAte,Awake,169.0,457.3057628049405,301,Stable,20,339.95944087799535
1164698,2022-03-05T00:00:00Z,POINT (1800.9426361522558 4352.2650873465345),26,AtRecreation,JustAte,Awake,371.0,1869.4831323096723,194,Stable,16,710.6085840504892
1164700,2022-03-05T00:00:00Z,POINT (-264.6025212267139 5038.6898058066035),28,AtRecreation,BecomingHungry,Awake,1254.0,4229.743505002733,1244,Stable,12,1947.2265341125687
1164732,2022-03-05T00:00:00Z,POINT (769.3304264362072 945.1483281946585),60,AtRecreation,BecameFull,Awake,266.0,1568.0591428519317,305,Stable,16,608.1069820436263
1164733,2022-03-05T00:00:00Z,POINT (-226.77896450230287 3892.4251816744554),61,AtRecreation,BecomingHungry,Awake,22.0,1779.0369490169696,214,Stable,16,630.9404224825407
1164735,2022-03-05T00:00:00Z,POINT (951.3399254426391 3989.0233583756503),63,AtRecreation,BecameFull,Awake,17.0,1788.9011247748515,115,Stable,16,630.2762139177302
1164741,2022-03-05T00:00:00Z,POINT (-512.5740005389997 3548.9331967739854),69,AtRecreation,BecomingHungry,Awake,192.0,1006.1987871545092,347,Stable,20,792.2922387803216
1164743,2022-03-05T00:00:00Z,POINT (-235.52533172192724 3887.4323029299408),71,AtRecreation,BecomingHungry,PrepareToSleep,322.0,972.843908487731,138,Stable,20,463.6779427286083
1164754,2022-03-05T00:00:00Z,POINT (-222.7532181961544 3868.6583860978158),82,AtRecreation,JustAte,Awake,202.0,2364.706486924735,207,Stable,20,1562.4233756537749
1164767,2022-03-05T00:00:00Z,POINT (763.2625854845734 935.4530286811124),95,AtRecreation,BecomingHungry,Awake,121.0,1151.693888378299,191,Stable,16,415.9937090566679
1164770,2022-03-05T00:00:00Z,POINT (-271.8476107473678 5040.146947958896),98,AtRecreation,BecomingHungry,Awake,229.0,1562.5928800477989,6,Stable,16,483.1264008933735
1164784,2022-03-05T00:00:00Z,POINT (-231.77859627011287 3875.9329200657253),112,AtRecreation,BecomingHungry,Awake,26.0,3915.902627121805,265,Stable,16,1521.8222479992949
1164789,2022-03-05T00:00:00Z,POINT (-226.67242909201875 3863.7685592568882),117,AtRecreation,BecomingHungry,Awake,1034.0,1136.1317887794266,27,Stable,20,1152.5249539631295
1164797,2022-03-05T00:00:00Z,POINT (-234.0758151912574 3882.696889395759),125,AtRecreation,BecomingHungry,Awake,1231.0,2759.35242890944,553,Stable,12,1578.7360601586074
1164846,2022-03-05T00:00:00Z,POINT (1807.7593137867013 4330.342673249399),175,AtRecreation,BecomingHungry,Awake,272.0,2185.854660012889,232,Stable,16,537.1623045178189
1164852,2022-03-05T00:00:00Z,POINT (1811.02314196742 4347.695479105338),181,AtRecreation,BecomingHungry,Awake,126.0,1679.1068323634092,314,Stable,20,575.6380347905291
1164864,2022-03-05T00:00:00Z,POINT (976.4016618674946 3997.3650947124693),193,AtRecreation,BecomingHungry,Awake,299.0,2385.20819651303,205,Stable,20,1681.976167771358
1164868,2022-03-05T00:00:00Z,POINT (1803.4615491107693 4341.308801539562),197,AtRecreation,BecomingHungry,Awake,286.0,1024.397538646214,152,Stable,20,508.31619697890096
1164874,2022-03-05T00:00:00Z,POINT (775.262917067941 932.1881256066268),203,AtRecreation,BecameFull,Awake,230.0,1417.6612070660815,266,Stable,20,605.5991050900893
1164876,2022-03-05T00:00:00Z,POINT (-3892.500516606914 5959.133405855642),205,AtRecreation,BecomingHungry,Awake,1191.0,2217.33930737339,1299,Stable,12,745.0072914938272
1164890,2022-03-05T00:00:00Z,POINT (782.0904011505428 932.8585109363439),219,AtRecreation,BecomingHungry,Awake,174.0,2057.531209435078,153,Stable,20,833.7597646630463
1164891,2022-03-05T00:00:00Z,POINT (770.0346370363395 938.6776077047244),220,AtRecreation,BecomingHungry,Awake,181.0,2858.80335308002,99,Stable,20,1556.6559052472371
1164902,2022-03-05T00:00:00Z,POINT (-260.6284224432597 5035.991572241141),231,AtRecreation,BecomingHungry,Awake,100.0,1434.5831734885728,260,Stable,20,503.4339231937812
1164905,2022-03-05T00:00:00Z,POINT (764.4697696716182 943.9062434798486),234,AtRecreation,Hungry,PrepareToSleep,214.0,3256.161308025942,155,Stable,16,962.3124285449464
1164915,2022-03-05T00:00:00Z,POINT (1801.8056083262045 4328.1234000834065),244,AtRecreation,BecomingHungry,Awake,69.0,1520.1713162786218,90,Stable,20,701.023363035205
1164916,2022-03-05T00:00:00Z,POINT (-263.72183612604175 5021.742967561553),245,AtRecreation,BecameFull,Awake,261.0,3254.2742880326027,62,Stable,20,1855.8464816290575
1164920,2022-03-05T00:00:00Z,POINT (971.8250913990266 4000.450211361051),249,AtRecreation,BecomingHungry,Awake,231.0,3260.957454115417,142,Stable,20,1377.068963882314
1164928,2022-03-05T00:00:00Z,POINT (-1692.8073355898605 3863.948674438792),257,AtRecreation,BecameFull,Awake,600.0,1648.4319363714849,595,Stable,16,563.3217068080143
1164929,2022-03-05T00:00:00Z,POINT (-514.2842078793605 3553.456263028761),258,AtRecreation,BecameFull,Awake,797.0,947.8433783470924,491,Stable,20,411.788258697878
1164944,2022-03-05T00:00:00Z,POINT (-1622.562368419548 3895.0951990419244),273,AtRecreation,BecomingHungry,Awake,816.0,808.3443636803577,587,Stable,20,341.0751613118336
1164954,2022-03-05T00:00:00Z,POINT (-213.97782920425465 3885.470243245299),283,AtRecreation,BecameFull,Awake,757.0,1902.7967344608423,483,Stable,20,1370.2717092355747
1164965,2022-03-05T00:00:00Z,POINT (-1706.6474523692796 3880.3886621166193),295,AtRecreation,BecomingHungry,Awake,774.0,3236.649164587162,471,Stable,16,1152.4038281798737
1164969,2022-03-05T00:00:00Z,POINT (-1521.4034478345386 3816.4580970577945),299,AtRecreation,BecomingHungry,Awake,544.0,1256.179635373169,673,Stable,16,423.3339047980781
1164993,2022-03-05T00:00:00Z,POINT (-500.729641793685 3540.8584150797824),323,AtRecreation,BecameFull,Awake,1102.0,1308.2460735809896,624,Stable,20,1179.312027529267
1165005,2022-03-05T00:00:00Z,POINT (-3202.07884270877 6474.445143299866),335,AtRecreation,BecomingHungry,Awake,1554.0,3072.36296600931,1015,Stable,12,1179.432763121872
1165028,2022-03-05T00:00:00Z,POINT (-1693.7274187394903 3875.1203415236178),359,AtRecreation,BecameFull,Awake,594.0,538.758733931739,645,Stable,20,341.3831689972705
1165030,2022-03-05T00:00:00Z,POINT (-3217.372012692735 6497.071070083335),361,AtRecreation,JustAte,Awake,1411.0,978.4432506127224,1268,Stable,12,284.00932042654773
1165031,2022-03-05T00:00:00Z,POINT (-227.47092613408336 3879.002601008256),362,AtRecreation,BecomingHungry,Awake,695.0,800.5785123309079,670,Stable,20,470.2935870561674
1165040,2022-03-05T00:00:00Z,POINT (-1517.861241334027 3818.8400189877075),371,AtRecreation,BecameFull,Awake,664.0,903.0457591426812,368,Stable,16,325.67787915276625
1165045,2022-03-05T00:00:00Z,POINT (-3800.677156044071 6360.111951706174),376,AtRecreation,JustAte,Awake,1449.0,1302.1477500948954,972,Stable,12,449.4872795980425
1165053,2022-03-05T00:00:00Z,POINT (-1515.876110936901 3828.1436697381714),386,AtRecreation,BecomingHungry,Awake,489.0,2223.912835224165,381,Stable,16,742.3729803515805
1165057,2022-03-05T00:00:00Z,POINT (-1695.6214403479628 3859.162707603878),390,AtRecreation,BecomingHungry,Awake,487.0,716.5934530660994,453,Stable,20,480.5332039085369
1165062,2022-03-05T00:00:00Z,POINT (-508.3345762990365 3539.778746173433),395,AtRecreation,JustAte,Awake,505.0,1463.3085426946727,573,Stable,20,819.0974721556586
1165079,2022-03-05T00:00:00Z,POINT (-260.61074371726914 5018.962020696486),412,AtRecreation,BecomingHungry,Awake,1047.0,828.4335775031059,593,Stable,20,351.6859059159901
1165080,2022-03-05T00:00:00Z,POINT (-3219.581697187287 6475.450021832747),413,AtRecreation,BecomingHungry,Awake,1608.0,3534.42377586896,1109,Stable,12,1173.0272383828287
1165097,2022-03-05T00:00:00Z,POINT (-1596.9063320261325 3890.810929096625),430,AtRecreation,BecomingHungry,Awake,561.0,1321.6050264660958,467,Stable,20,593.8716319134852
1165102,2022-03-05T00:00:00Z,POINT (-227.4269433841322 3867.0892644501996),435,AtRecreation,BecomingHungry,Awake,519.0,906.9092253444512,397,Stable,20,380.43383924133457
1165110,2022-03-05T00:00:00Z,POINT (-1709.4365839348538 3857.9992115117825),443,AtRecreation,BecomingHungry,Awake,952.0,1016.9847942423748,408,Stable,20,362.5090103703904
1165114,2022-03-05T00:00:00Z,POINT (-510.0973804027267 3556.478980296032),447,AtRecreation,BecomingHungry,Awake,1083.0,1866.2705415512655,623,Stable,20,954.9193963765658
1165120,2022-03-05T00:00:00Z,POINT (-1520.2996666105255 3800.990530982661),453,AtRecreation,BecomingHungry,Awake,970.0,1321.5030557425084,692,Stable,20,493.8204571323929
1165127,2022-03-05T00:00:00Z,POINT (-211.91190644920903 3882.0397384614885),460,AtRecreation,BecameFull,Awake,620.0,2088.877147580906,655,Stable,20,840.0105736066369
1165137,2022-03-05T00:00:00Z,POINT (-1594.9772582998455 3884.572651446844),470,AtRecreation,BecomingHungry,Awake,471.0,1719.2782448909009,382,Stable,20,792.0886791267621
1165146,2022-03-05T00:00:00Z,POINT (-1706.0434349498075 3861.553216091088),479,AtRecreation,BecomingHungry,Awake,680.0,1251.5250377814154,605,Stable,20,450.7242174958552
1165158,2022-03-05T00:00:00Z,POINT (-1610.5924782498957 3890.4382334854695),491,AtRecreation,BecameFull,Awake,813.0,2402.121451317624,544,Stable,20,1325.0377545853155
1165196,2022-03-05T00:00:00Z,POINT (-220.80965146114082 3892.4088281421195),530,AtRecreation,BecomingHungry,Awake,1114.0,1005.4271848906736,813,Stable,16,288.3807246705906
1165209,2022-03-05T00:00:00Z,POINT (-261.32845345198666 5031.840594175809),544,AtRecreation,BecomingHungry,Awake,1214.0,1888.311778332044,948,Stable,16,694.4738591244594
1165216,2022-03-05T00:00:00Z,POINT (-497.3137829297207 3553.067433269928),551,AtRecreation,BecomingHungry,Awake,1091.0,2522.621976387285,746,Stable,16,873.6057394912173
1165227,2022-03-05T00:00:00Z,POINT (-1608.7410324211664 3878.204741278105),563,AtRecreation,JustAte,Awake,943.0,1254.7722330653658,777,Stable,20,1030.3455859811866
1165228,2022-03-05T00:00:00Z,POINT (-1534.603595577461 3801.0073194681618),564,AtRecreation,BecomingHungry,Awake,782.0,889.1702058969261,769,Stable,20,403.4462425599237
1165229,2022-03-05T00:00:00Z,POINT (-3795.081612922851 6381.2481945798145),565,AtRecreation,BecameFull,Awake,1095.0,1180.3610362905329,951,Stable,20,592.1048857176085
1165230,2022-03-05T00:00:00Z,POINT (-240.79045160745665 3868.5498378818816),566,AtRecreation,BecomingHungry,Awake,993.0,1034.1727333912654,855,Stable,16,266.8649881772652
1165257,2022-03-05T00:00:00Z,POINT (-3215.7302835377395 6475.6952003762535),596,AtRecreation,BecomingHungry,Awake,1242.0,2278.539989974906,981,Stable,20,1186.8592682707636
1165266,2022-03-05T00:00:00Z,POINT (-3899.7639170708603 5969.321104758067),607,AtRecreation,JustAte,Awake,990.0,790.6641830265512,807,Stable,16,201.3383656196571
1165282,2022-03-05T00:00:00Z,POINT (-507.6373509890923 3538.329624080536),624,AtRecreation,JustAte,Awake,1101.0,1550.6896190980208,714,Stable,20,1037.0857910692014
1165287,2022-03-05T00:00:00Z,POINT (967.5091912468331 4005.154805172982),630,AtRecreation,BecomingHungry,Awake,1245.0,1247.5807983308148,946,Stable,16,541.2862204478007
1165336,2022-03-05T00:00:00Z,POINT (-261.9901829904869 5034.537004511446),682,AtRecreation,BecameFull,Awake,1108.0,1558.23532284959,744,Stable,16,318.8217297619842
1165351,2022-03-05T00:00:00Z,POINT (-270.99951872606096 5024.513726615436),697,AtRecreation,BecomingHungry,Awake,1210.0,1522.126113024346,1012,Stable,20,528.4830317035781
1165372,2022-03-05T00:00:00Z,POINT (-215.32462109458837 3872.7989007574183),718,AtRecreation,JustAte,Awake,1176.0,3416.683991642604,843,Stable,20,1320.9107567436788
1165374,2022-03-05T00:00:00Z,POINT (-1702.5959014471973 3862.94613720366),720,AtRecreation,BecomingHungry,Awake,615.0,3096.971843217633,698,Stable,20,951.034410135616
1165381,2022-03-05T00:00:00Z,POINT (-3205.1367679379928 6491.257279594133),727,AtRecreation,BecameFull,Awake,1203.0,2566.821339414875,922,Stable,20,1186.568808441148
1165398,2022-03-05T00:00:00Z,POINT (-3808.661811176981 6359.242773391749),744,AtRecreation,BecomingHungry,Awake,1045.0,1459.9809886975686,999,Stable,16,276.6931351639651
1165402,2022-03-05T00:00:00Z,POINT (-3224.447858065918 6474.290934189468),748,AtRecreation,BecameFull,Awake,1093.0,3172.892728700862,936,Stable,20,1393.703347752767
